date,hour,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,weekDay,monthDay,month,Generation,Co2_emission
2018-01-01,0,4779250.0,6745000.0,476250.0,1781750.0,1225000.0,187750.0,3000.0,354000.0,1739000.0,44750.0,5853750.0,329000.0,144000.0,0.0,631750.0,2917500.0,28660250.0,0,1,1,55872002.0,159.44322290234823
2018-01-01,1,4764500.0,6831000.0,530500.0,1786250.0,1209000.0,188000.0,3000.0,738500.0,1629500.0,46750.0,4754000.0,328250.0,144000.0,0.0,615000.0,2999250.0,30105500.0,0,1,1,56673002.0,159.00914456619554
2018-01-01,2,4766750.0,6787250.0,505250.0,1790750.0,1260250.0,187750.0,3000.0,441000.0,1623250.0,48750.0,4591000.0,325750.0,143000.0,0.0,572250.0,3096000.0,30772750.0,0,1,1,56914752.0,157.47038772901575
2018-01-01,3,4771000.0,6745750.0,471500.0,1808250.0,1246750.0,187000.0,3000.0,5250.0,1613250.0,45000.0,4888750.0,322000.0,143000.0,0.0,565750.0,3136750.0,31641500.0,0,1,1,57594502.0,154.31614129821423
2018-01-01,4,4776500.0,6727750.0,488000.0,1805750.0,1244500.0,188000.0,3000.0,6250.0,1607750.0,46250.0,4696500.0,322000.0,143000.0,0.0,594000.0,3212000.0,31529000.0,0,1,1,57390252.0,155.10456479977
2018-01-01,5,4768750.0,6746000.0,487750.0,1788250.0,1247750.0,187500.0,3000.0,9000.0,1600750.0,47500.0,4830750.0,322500.0,143000.0,0.0,620000.0,3281500.0,32063000.0,0,1,1,58147002.0,153.6718833301804
2018-01-01,6,4781000.0,6678000.0,467750.0,1702000.0,1241000.0,188000.0,3000.0,415750.0,1594500.0,43500.0,4762500.0,322000.0,143000.0,0.0,615000.0,3291000.0,31447250.0,0,1,1,57695252.0,153.0391583362582
2018-01-01,7,4793750.0,6590500.0,391500.0,1664000.0,1233250.0,188000.0,3000.0,415500.0,1579500.0,43500.0,4639000.0,322000.0,143000.0,0.0,617250.0,3281750.0,30918000.0,0,1,1,56823502.0,152.61636470826332
2018-01-01,8,4810000.0,6517750.0,325250.0,1650500.0,979250.0,188000.0,3000.0,417000.0,1570250.0,43000.0,4616250.0,322000.0,143000.0,173500.0,616750.0,3284750.0,30311000.0,0,1,1,55971252.0,149.25770819840542
2018-01-01,9,4848750.0,6549000.0,312500.0,1791250.0,980500.0,188500.0,3000.0,420500.0,1566500.0,44000.0,4657250.0,322000.0,143000.0,1565000.0,608000.0,3277250.0,30811500.0,0,1,1,58088502.0,146.124865506942
2018-01-01,10,4866500.0,6580750.0,311500.0,1835750.0,992750.0,188000.0,3000.0,481750.0,1578500.0,44750.0,4857000.0,322000.0,143000.0,4036750.0,607750.0,3195500.0,31738500.0,0,1,1,61783752.0,140.15233779108584
2018-01-01,11,4863500.0,6605750.0,308000.0,1818250.0,998750.0,188000.0,3000.0,421000.0,1582500.0,47500.0,4826250.0,322000.0,143000.0,6000000.0,612000.0,3252750.0,32299500.0,0,1,1,64291752.0,136.32256860328113
2018-01-01,12,4850250.0,6371750.0,313750.0,1832750.0,1026500.0,188000.0,3000.0,775000.0,1671750.0,58000.0,5138500.0,322000.0,143000.0,6409250.0,612500.0,3288000.0,31595500.0,0,1,1,64599502.0,133.63487333493293
2018-01-01,13,4850500.0,6360500.0,313000.0,1840750.0,1020750.0,188250.0,3000.0,259500.0,1689500.0,53250.0,6297750.0,322000.0,143000.0,5685000.0,616500.0,3285500.0,29290750.0,0,1,1,62219502.0,137.7394305643729
2018-01-01,14,4860750.0,6379500.0,306000.0,1849000.0,1023250.0,188000.0,3000.0,304250.0,1684250.0,54000.0,7285500.0,322000.0,143000.0,4028250.0,613750.0,3280000.0,25578000.0,0,1,1,57902502.0,146.71973576270454
2018-01-01,15,4866750.0,6910000.0,312250.0,1865750.0,1237000.0,187500.0,3000.0,306500.0,1676500.0,56500.0,7966000.0,323250.0,143500.0,1547500.0,612000.0,4231250.0,22182500.0,0,1,1,54427752.0,165.26001442278985
2018-01-01,16,4867250.0,9133250.0,339000.0,2109000.0,1282500.0,187500.0,3000.0,1368750.0,1675500.0,61750.0,8594500.0,344250.0,150500.0,40750.0,621000.0,4006250.0,19522750.0,0,1,1,54307502.0,201.441886479768
2018-01-01,17,4876750.0,10722250.0,351500.0,2216250.0,1317250.0,187750.0,3000.0,2850000.0,1671500.0,39000.0,8905250.0,357750.0,158500.0,0.0,621000.0,3687250.0,18211000.0,0,1,1,56176002.0,220.14089646824266
2018-01-01,18,4881250.0,11278250.0,320000.0,2279500.0,1238000.0,187500.0,3000.0,5175500.0,1671500.0,31000.0,9019250.0,379250.0,163750.0,0.0,620000.0,3256000.0,17723250.0,0,1,1,58227002.0,220.46307554914387
2018-01-01,19,4878250.0,11769000.0,320250.0,2481000.0,1097750.0,187500.0,3000.0,4570000.0,1670000.0,32250.0,9089000.0,421000.0,187750.0,0.0,617500.0,3104000.0,17338750.0,0,1,1,57767002.0,228.39576661415688
2018-01-01,20,4855500.0,12154000.0,324000.0,2571500.0,1498750.0,188750.0,3000.0,3894250.0,1671750.0,32250.0,9104500.0,421000.0,189000.0,0.0,616750.0,2858250.0,16499250.0,0,1,1,56882502.0,243.2438535577726
2018-01-01,21,4846750.0,12569250.0,324750.0,2588000.0,1598750.0,189000.0,3000.0,2909500.0,1673000.0,30250.0,9112000.0,421000.0,189000.0,0.0,621000.0,2555750.0,16488000.0,0,1,1,56119002.0,253.5725912792459
2018-01-01,22,4826500.0,13035500.0,315250.0,2571000.0,1562000.0,189250.0,3000.0,1167250.0,1670250.0,31500.0,9110500.0,421000.0,189000.0,0.0,624500.0,2345750.0,16059000.0,0,1,1,54121252.0,268.01483243642747
2018-01-01,23,4802000.0,12930750.0,289500.0,2573250.0,1458250.0,189000.0,3000.0,618750.0,1662250.0,35750.0,9128500.0,421000.0,189000.0,0.0,620000.0,1944750.0,15814000.0,0,1,1,52679752.0,271.2183429116501
2018-01-02,0,4760500.0,12450750.0,335500.0,2476250.0,1488750.0,189250.0,3000.0,5000.0,1656500.0,42250.0,9026250.0,421250.0,186250.0,0.0,620750.0,1517250.0,15486250.0,1,2,1,50665754.0,274.0639534596843
2018-01-02,1,4763500.0,11337250.0,360500.0,2468250.0,1410750.0,190250.0,3000.0,5000.0,1645000.0,43250.0,9040750.0,410250.0,179000.0,0.0,623750.0,1612000.0,15233250.0,1,2,1,49325754.0,262.04382599352266
2018-01-02,2,4747000.0,10703750.0,349000.0,2466000.0,1402000.0,191000.0,3000.0,5000.0,1638500.0,47000.0,9109500.0,405000.0,176500.0,0.0,615500.0,1532500.0,14756500.0,1,2,1,48147754.0,257.0675576740346
2018-01-02,3,4746750.0,10006750.0,332000.0,2629250.0,1351000.0,191000.0,3000.0,5000.0,1639250.0,44500.0,9178000.0,405500.0,176000.0,0.0,609500.0,1701250.0,14638500.0,1,2,1,47657254.0,247.89142260621418
2018-01-02,4,4735500.0,11050500.0,329750.0,2917750.0,1411250.0,192000.0,3000.0,388000.0,1647500.0,41000.0,9160750.0,422750.0,182750.0,0.0,606500.0,1810750.0,15245000.0,1,2,1,50144754.0,256.3092048519536
2018-01-02,5,4744500.0,12328000.0,316500.0,3033250.0,1798500.0,191500.0,3000.0,531750.0,1647500.0,47250.0,9187750.0,435250.0,186750.0,0.0,615750.0,1934000.0,15575000.0,1,2,1,52576254.0,271.3132640688524
2018-01-02,6,4749000.0,14397500.0,372000.0,3320500.0,2347250.0,191500.0,3000.0,750750.0,1652750.0,46500.0,9198500.0,467750.0,203250.0,0.0,612750.0,2164750.0,16224250.0,1,2,1,56702004.0,292.4450945292935
2018-01-02,7,4817000.0,15044000.0,452750.0,3911750.0,3062500.0,191250.0,3000.0,1831250.0,1659000.0,52000.0,9277500.0,513750.0,206500.0,0.0,619500.0,2145500.0,16569500.0,1,2,1,60356754.0,299.00333019919066
2018-01-02,8,4854750.0,15360500.0,491750.0,4025250.0,4262250.0,191750.0,3000.0,3238500.0,1668000.0,46250.0,9322000.0,515250.0,208000.0,81000.0,606500.0,2162750.0,16309500.0,1,2,1,63347004.0,306.04645839581985
2018-01-02,9,4864500.0,15953000.0,501000.0,4260250.0,5166000.0,191500.0,3000.0,3587500.0,1664750.0,49750.0,9345500.0,515000.0,208000.0,907000.0,612000.0,1942000.0,16073750.0,1,2,1,65844504.0,315.06745058433125
2018-01-02,10,4854000.0,16239000.0,380500.0,4244000.0,5441500.0,191250.0,3000.0,3731250.0,1659500.0,55250.0,9345250.0,528250.0,208000.0,2203000.0,609250.0,1761750.0,15545500.0,1,2,1,67000254.0,315.71182943347225
2018-01-02,11,4855500.0,16494500.0,451000.0,4231750.0,5604500.0,191750.0,3000.0,4214500.0,1659000.0,51750.0,9342750.0,528000.0,208000.0,3157500.0,609000.0,2266000.0,15437000.0,1,2,1,69305504.0,311.74144909134196
2018-01-02,12,4860500.0,16508250.0,505250.0,4204750.0,5376500.0,191500.0,3000.0,3261000.0,1668750.0,54500.0,9302500.0,528000.0,207250.0,3431750.0,610750.0,2724750.0,16316750.0,1,2,1,69755754.0,307.622135092806
2018-01-02,13,4862500.0,16452250.0,514750.0,4145500.0,5990000.0,191250.0,3000.0,2067500.0,1658250.0,54500.0,9293250.0,533000.0,207250.0,3244750.0,606000.0,2572500.0,15553250.0,1,2,1,67949504.0,321.25211002288466
2018-01-02,14,4866750.0,16329250.0,507750.0,4126500.0,6498250.0,189750.0,3000.0,2435750.0,1652750.0,34750.0,9297750.0,533000.0,207000.0,2391250.0,605250.0,2290000.0,14061500.0,1,2,1,66030254.0,334.4170285588802
2018-01-02,15,4885750.0,16331000.0,502000.0,4140250.0,6803500.0,189750.0,3000.0,2762500.0,1655500.0,46000.0,9291250.0,537500.0,207000.0,869000.0,603000.0,2537500.0,13465750.0,1,2,1,64830254.0,343.54700159262075
2018-01-02,16,4886500.0,16390000.0,499500.0,4189500.0,6480500.0,190000.0,3000.0,3002750.0,1661500.0,41500.0,9222000.0,542250.0,207000.0,40500.0,601750.0,2993750.0,13671000.0,1,2,1,64623004.0,341.33242034569736
2018-01-02,17,4882750.0,16585250.0,500500.0,4182500.0,6830000.0,190000.0,3000.0,4178750.0,1661750.0,67750.0,9292000.0,542000.0,207000.0,0.0,605750.0,3186250.0,14884750.0,1,2,1,67800004.0,332.5774963126844
2018-01-02,18,4871250.0,16553750.0,506250.0,4260500.0,6483250.0,189750.0,3000.0,2343500.0,1659000.0,56750.0,9212250.0,543000.0,207250.0,0.0,605250.0,3670000.0,16092250.0,1,2,1,67257004.0,330.53697756367364
