date,hour,Solar,Wind Offshore,Wind Onshore,weekDay,monthDay,month,Generation,Co2_emission,apparentTemperature,dewPoint,humidity,precipAccumulation,precipIntensity,precipProbability,temperature,windBearing,windGust,windSpeed
2015-01-01,0,0.0,516500.0,8128000.0,3.0,1.0,1.0,50247755.0,344.9369673268952,2.67,1.93,0.95,0.0,0.0,0.0,2.67,-1.0,0.45,0.0
2015-01-01,1,0.0,516250.0,8297500.0,3.0,1.0,1.0,48578755.0,332.11155597869435,2.56,1.79,0.95,0.0,0.0,0.0,2.56,12.0,0.27,0.09
2015-01-01,2,0.0,514000.0,8540000.0,3.0,1.0,1.0,47864505.0,326.1030774373492,2.34,1.59,0.95,0.0,0.0,0.0,2.34,-1.0,0.27,0.0
2015-01-01,3,0.0,517750.0,8552000.0,3.0,1.0,1.0,46835005.0,322.62821073983133,2.45,1.71,0.95,0.0,0.0,0.0,2.45,111.0,0.45,0.09
2015-01-01,4,0.0,519750.0,8643500.0,3.0,1.0,1.0,47032505.0,322.8307021740286,2.34,1.59,0.95,0.0,0.0,0.0,2.34,134.0,0.63,0.36
2015-01-01,5,0.0,520000.0,8711750.0,3.0,1.0,1.0,46367255.0,312.03099709385395,2.12,1.37,0.95,0.0,0.0,0.0,2.12,126.0,1.43,0.79
2015-01-01,6,0.0,521500.0,9167250.0,3.0,1.0,1.0,45306755.0,302.5482019787338,2.12,1.41,0.95,0.0,0.0,0.0,2.12,126.0,0.72,0.27
2015-01-01,7,0.0,520250.0,9811000.0,3.0,1.0,1.0,45656255.0,296.5057960301164,1.56,0.85,0.95,0.0,0.0,0.0,1.56,159.0,1.7,0.22
2015-01-01,8,53000.0,525250.0,9683000.0,3.0,1.0,1.0,46540005.0,298.49897400085945,1.56,0.85,0.95,0.0,0.0,0.0,1.56,144.0,0.27,0.27
2015-01-01,9,773250.0,527000.0,9501750.0,3.0,1.0,1.0,47295005.0,300.9402949571836,1.56,0.85,0.95,0.0,0.0,0.0,1.56,107.0,1.7,0.59
2015-01-01,10,2116750.0,525000.0,10025000.0,3.0,1.0,1.0,49239005.0,292.59218810292646,1.56,0.88,0.95,0.0,0.0,0.0,1.56,133.0,1.97,0.38
2015-01-01,11,3364250.0,527250.0,10862500.0,3.0,1.0,1.0,51538755.0,278.28932599257837,0.31,1.43,0.95,0.0,0.0,0.0,2.12,94.0,3.5,1.75
2015-01-01,12,4198250.0,527750.0,11575250.0,3.0,1.0,1.0,53238755.0,274.8385151792632,2.23,1.52,0.95,0.0,0.0,0.0,2.23,209.0,1.7,0.18
2015-01-01,13,3500500.0,527750.0,11977250.0,3.0,1.0,1.0,53387505.0,271.83129946148443,2.88,2.0,0.94,0.0,0.0,0.0,2.88,149.0,1.17,0.36
2015-01-01,14,2278750.0,524750.0,11396000.0,3.0,1.0,1.0,52274505.0,277.70754383112217,3.34,2.49,0.94,0.0,0.0,0.0,3.34,113.0,2.42,0.45
2015-01-01,15,745500.0,524500.0,11326500.0,3.0,1.0,1.0,52327505.0,287.0986622712723,3.34,2.34,0.93,0.0,0.0,0.0,3.34,155.0,2.24,0.98
2015-01-01,16,50000.0,524500.0,13058000.0,3.0,1.0,1.0,54246755.0,298.4896606709158,1.8,2.34,0.93,0.0,0.0,0.0,3.34,140.0,2.77,1.69
2015-01-01,17,0.0,524500.0,14911500.0,3.0,1.0,1.0,56656505.0,292.39892598377946,3.34,2.22,0.92,0.0,0.0,0.0,3.34,164.0,1.44,0.45
2015-01-01,18,0.0,524000.0,16344000.0,3.0,1.0,1.0,56847005.0,279.8257911587243,1.48,1.93,0.93,0.0,0.0,0.0,2.88,116.0,2.95,1.53
2015-01-01,19,0.0,523500.0,17484500.0,3.0,1.0,1.0,57312505.0,263.8547568157033,2.88,1.9,0.93,0.0,0.0,0.0,2.88,155.0,2.15,0.54
2015-01-01,20,0.0,522250.0,18659000.0,3.0,1.0,1.0,56654755.0,251.73745802426097,2.88,1.77,0.92,0.0,0.0,0.0,2.88,150.0,2.6,0.98
2015-01-01,21,0.0,521000.0,19831500.0,3.0,1.0,1.0,56391755.0,239.355508562866,2.99,1.86,0.92,0.0,0.0,0.0,2.99,139.0,3.4,0.98
2015-01-01,22,0.0,519500.0,20716000.0,3.0,1.0,1.0,57678255.0,223.14156982918166,1.32,1.82,0.92,0.0,0.0,0.0,2.99,110.0,3.31,1.75
2015-01-01,23,0.0,494000.0,21589000.0,3.0,1.0,1.0,56288505.0,216.12201426579145,1.07,1.72,0.91,0.0,0.0,0.0,2.99,150.0,4.03,1.96
2015-01-02,0,0.0,305000.0,22166750.0,4.0,2.0,1.0,54079757.0,205.1969175153361,1.16,1.61,0.91,0.0,0.0,0.0,2.88,101.0,3.13,1.78
2015-01-02,1,0.0,276500.0,23158000.0,4.0,2.0,1.0,53827007.0,205.33440931131213,0.97,1.17,0.91,0.0,0.0,0.0,2.45,171.0,4.29,1.55
2015-01-02,2,0.0,282000.0,23966000.0,4.0,2.0,1.0,53163007.0,202.247968511935,-0.81,1.0,0.9,0.0,0.0,0.0,2.45,122.0,5.9,3.33
2015-01-02,3,0.0,324750.0,24708750.0,4.0,2.0,1.0,53017007.0,197.65058849048415,-2.68,0.43,0.9,0.0,0.0,0.0,1.89,151.0,6.89,5.26
2015-01-02,4,0.0,335000.0,25386000.0,4.0,2.0,1.0,53995007.0,192.42691452912305,-0.58,0.31,0.89,0.0,0.0,0.0,1.89,101.0,5.55,2.3
2015-01-02,5,0.0,388250.0,25783750.0,4.0,2.0,1.0,55601757.0,195.10298686642057,-1.84,0.31,0.89,0.0,0.0,0.0,1.89,98.0,6.98,3.82
2015-01-02,6,0.0,498250.0,25857250.0,4.0,2.0,1.0,56609257.0,197.83206808074647,-1.06,0.14,0.88,0.0,0.0,0.0,1.89,138.0,6.8,2.8
2015-01-02,7,0.0,498250.0,25694500.0,4.0,2.0,1.0,58531257.0,203.3711777896423,-0.98,0.24,0.89,0.0,0.0,0.0,1.89,100.0,5.91,2.71
2015-01-02,8,38000.0,480000.0,26109750.0,4.0,2.0,1.0,62205257.0,215.1089498072912,-0.03,0.38,0.9,0.0,0.1753,0.8,1.89,94.0,5.64,1.82
2015-01-02,9,252500.0,367500.0,25566750.0,4.0,2.0,1.0,64175757.0,224.384109262455,1.89,0.67,0.92,0.0,0.5893,1.0,1.89,150.0,3.76,1.03
