date,hour,apparentTemperature,dewPoint,humidity,icon,precipAccumulation,precipIntensity,precipProbability,temperature,windBearing,windGust,windSpeed
2015-01-01,0,2.67,1.93,0.95,clear-night,0.0,0,0,2.67,-1,0.45,0
2015-01-01,1,2.56,1.79,0.95,clear-night,0.0,0,0,2.56,12,0.27,0.09
2015-01-01,2,2.34,1.59,0.95,clear-night,0.0,0,0,2.34,-1,0.27,0
2015-01-01,3,2.45,1.71,0.95,clear-night,0.0,0,0,2.45,111,0.45,0.09
2015-01-01,4,2.34,1.59,0.95,clear-night,0.0,0,0,2.34,134,0.63,0.36
2015-01-01,5,2.12,1.37,0.95,clear-night,0.0,0,0,2.12,126,1.43,0.79
2015-01-01,6,2.12,1.41,0.95,clear-night,0.0,0,0,2.12,126,0.72,0.27
2015-01-01,7,1.56,0.85,0.95,clear-night,0.0,0,0,1.56,159,1.7,0.22
2015-01-01,8,1.56,0.85,0.95,clear-night,0.0,0,0,1.56,144,0.27,0.27
2015-01-01,9,1.56,0.85,0.95,clear-day,0.0,0,0,1.56,107,1.7,0.59
2015-01-01,10,1.56,0.88,0.95,clear-day,0.0,0,0,1.56,133,1.97,0.38
2015-01-01,11,0.31,1.43,0.95,clear-day,0.0,0,0,2.12,94,3.5,1.75
2015-01-01,12,2.23,1.52,0.95,clear-day,0.0,0,0,2.23,209,1.7,0.18
2015-01-01,13,2.88,2,0.94,clear-day,0.0,0,0,2.88,149,1.17,0.36
2015-01-01,14,3.34,2.49,0.94,clear-day,0.0,0,0,3.34,113,2.42,0.45
2015-01-01,15,3.34,2.34,0.93,clear-day,0.0,0,0,3.34,155,2.24,0.98
2015-01-01,16,1.8,2.34,0.93,clear-day,0.0,0,0,3.34,140,2.77,1.69
2015-01-01,17,3.34,2.22,0.92,clear-night,0.0,0,0,3.34,164,1.44,0.45
2015-01-01,18,1.48,1.93,0.93,clear-night,0.0,0,0,2.88,116,2.95,1.53
2015-01-01,19,2.88,1.9,0.93,clear-night,0.0,0,0,2.88,155,2.15,0.54
2015-01-01,20,2.88,1.77,0.92,clear-night,0.0,0,0,2.88,150,2.6,0.98
2015-01-01,21,2.99,1.86,0.92,clear-night,0.0,0,0,2.99,139,3.4,0.98
2015-01-01,22,1.32,1.82,0.92,clear-night,0.0,0,0,2.99,110,3.31,1.75
2015-01-01,23,1.07,1.72,0.91,clear-night,0.0,0,0,2.99,150,4.03,1.96
2015-01-02,0,1.16,1.61,0.91,clear-night,0.0,0,0,2.88,101,3.13,1.78
2015-01-02,1,0.97,1.17,0.91,clear-night,0.0,0,0,2.45,171,4.29,1.55
2015-01-02,2,-0.81,1,0.9,clear-night,0.0,0,0,2.45,122,5.9,3.33
2015-01-02,3,-2.68,0.43,0.9,clear-night,0.0,0,0,1.89,151,6.89,5.26
2015-01-02,4,-0.58,0.31,0.89,clear-night,0.0,0,0,1.89,101,5.55,2.3
2015-01-02,5,-1.84,0.31,0.89,clear-night,0.0,0,0,1.89,98,6.98,3.82
2015-01-02,6,-1.06,0.14,0.88,clear-night,0.0,0,0,1.89,138,6.8,2.8
2015-01-02,7,-0.98,0.24,0.89,clear-night,0.0,0,0,1.89,100,5.91,2.71
2015-01-02,8,-0.03,0.38,0.9,clear-night,0.0,0.1753,0.8,1.89,94,5.64,1.82
2015-01-02,9,1.89,0.67,0.92,rain,0.0,0.5893,1,1.89,150,3.76,1.03
2015-01-02,10,0.08,0.84,0.92,rain,0.0,0.6248,1,2.01,107,3.85,1.84
2015-01-02,11,2.45,1.29,0.92,clear-day,0.0,0.0584,0.8,2.45,101,3.76,1.12
2015-01-02,12,1.27,1.84,0.93,clear-day,0.0,0.0508,0.2,2.88,138,4.13,1.7
2015-01-02,13,3.45,2.39,0.93,clear-day,0.0,0,0,3.45,87,3.04,1.18
2015-01-02,14,2.42,2.57,0.92,clear-day,0.0,0,0,3.78,189,3.13,1.6
2015-01-02,15,4.56,3.16,0.91,clear-day,0.0,0,0,4.56,116,2.06,0.65
2015-01-02,16,4.67,2.94,0.89,clear-day,0.0,0,0,4.67,270,1.8,0.45
2015-01-02,17,3.67,1.88,0.88,clear-night,0.0,0,0,3.67,43,2.24,0.43
2015-01-02,18,2.69,2.39,0.88,clear-night,0.0,0,0,4.12,283,2.34,1.7
2015-01-02,19,3.55,1.77,0.88,clear-night,0.0,0,0,3.55,311,1.62,0.81
2015-01-02,20,3.12,1.33,0.88,clear-night,0.0,0,0,3.12,285,1.44,0.36
2015-01-02,21,2.68,0.73,0.87,clear-night,0.0,0,0,2.68,302,1.53,1.17
2015-01-02,22,3.01,1.07,0.87,clear-night,0.0,0,0,3.01,284,1.53,0.36
2015-01-02,23,3.44,1.54,0.87,clear-night,0.0,0,0,3.44,298,2.25,0.59
2015-01-03,0,3.33,1.22,0.86,clear-night,0.0,0,0,3.33,181,2.87,0.33
2015-01-03,1,3.44,1.37,0.86,clear-night,0.0,0,0,3.44,273,2.07,0.63
2015-01-03,2,3.78,1.69,0.86,clear-night,0.0,0,0,3.78,299,1.98,0.99
2015-01-03,3,3.33,1.3,0.87,clear-night,0.0,0,0,3.33,53,0.99,0.18
2015-01-03,4,2.39,0.77,0.89,clear-night,0.0,0,0,2.39,-1,0,0
2015-01-03,5,1.83,0.22,0.89,clear-night,0.0,0,0,1.83,-1,0.45,0
2015-01-03,6,1.83,0.37,0.9,clear-night,0.0,0,0,1.83,-1,0.9,0
2015-01-03,7,1.26,-0.19,0.9,clear-night,0.0,0,0,1.26,-1,0,0
2015-01-03,8,1.26,-0.19,0.9,clear-night,0.0,0,0,1.26,-1,0.9,0
2015-01-03,9,1.83,0.37,0.9,clear-day,0.0,0,0,1.83,116,3.13,0.9
2015-01-03,10,1.83,0.37,0.9,clear-day,0.0,0,0,1.83,-1,0,0
2015-01-03,11,2.39,0.77,0.89,clear-day,0.0,0,0,2.39,-1,0,0
2015-01-03,12,2.93,1.29,0.89,clear-day,0.0,0,0,2.93,-1,0.9,0
